Instant,Riders,Season,Month,Hour,Holiday,Weekday,Workday,Weather,Temperature,Humidity,Wind
1,16,1,1,0,0,6,0,1,37,.81,0
2,40,1,1,1,0,6,0,1,36,.8,0
3,32,1,1,2,0,6,0,1,36,.8,0
4,13,1,1,3,0,6,0,1,37,.75,0
5,1,1,1,4,0,6,0,1,37,.75,0
6,1,1,1,5,0,6,0,2,34,.75,.0896
7,2,1,1,6,0,6,0,1,36,.8,0
8,3,1,1,7,0,6,0,1,34,.86,0
9,8,1,1,8,0,6,0,1,37,.75,0
10,14,1,1,9,0,6,0,1,45,.76,0
11,36,1,1,10,0,6,0,1,50,.76,.2537
12,56,1,1,11,0,6,0,1,43,.81,.2836
13,84,1,1,12,0,6,0,1,54,.77,.2836
14,94,1,1,13,0,6,0,2,57,.72,.2985
15,106,1,1,14,0,6,0,2,57,.72,.2836
16,110,1,1,15,0,6,0,2,55,.77,.2985
17,93,1,1,16,0,6,0,2,54,.82,.2985
18,67,1,1,17,0,6,0,2,55,.82,.2836
19,35,1,1,18,0,6,0,3,54,.88,.2537
20,37,1,1,19,0,6,0,3,54,.88,.2537
21,36,1,1,20,0,6,0,2,52,.87,.2537
22,34,1,1,21,0,6,0,2,52,.87,.194
23,28,1,1,22,0,6,0,2,52,.94,.2239
24,39,1,1,23,0,6,0,2,57,.88,.2985
25,17,1,1,0,0,0,0,2,57,.88,.2985
26,17,1,1,1,0,0,0,2,55,.94,.2537
27,9,1,1,2,0,0,0,2,54,1,.2836
28,6,1,1,3,0,0,0,2,57,.94,.194
29,3,1,1,4,0,0,0,2,57,.94,.194
30,2,1,1,6,0,0,0,3,54,.77,.2985
31,1,1,1,7,0,0,0,2,52,.76,.194
32,8,1,1,8,0,0,0,3,52,.71,.2239
33,20,1,1,9,0,0,0,2,50,.76,.2239
34,53,1,1,10,0,0,0,2,45,.81,.2239
35,70,1,1,11,0,0,0,2,43,.71,.2537
36,93,1,1,12,0,0,0,2,43,.66,.2985
37,75,1,1,13,0,0,0,2,45,.66,.1343
38,59,1,1,14,0,0,0,3,45,.76,.194
39,74,1,1,15,0,0,0,3,43,.81,.1642
40,76,1,1,16,0,0,0,3,43,.71,.1642
41,65,1,1,17,0,0,0,1,43,.57,.194
